name,set_name
"Alolan Muk-GX","Burning Shadows"
"Alolan Muk-GX","Burning Shadows"
"Alolan Ninetales","Burning Shadows"
"Alolan Ninetales","Team Up"
"Alolan Ninetales","SM Black Star Promos"
"Alolan Ninetales","Cosmic Eclipse"
"Alolan Ninetales-GX","Guardians Rising"
"Alolan Ninetales-GX","Shiny Vault"
"Alolan Ninetales-GX","Lost Thunder"
"Alolan Ninetales-GX","Guardians Rising"
"Alolan Ninetales-GX","Guardians Rising"
"Alolan Ninetales-GX","Lost Thunder"
"Alolan Ninetales-GX","Lost Thunder"
"Alolan Persian","Sun & Moon"
"Alolan Persian","Lost Thunder"
"Alolan Persian-GX","Cosmic Eclipse"
"Alolan Persian-GX","Cosmic Eclipse"
"Alolan Persian-GX","Cosmic Eclipse"
"Alolan Raichu","Crimson Invasion"
"Alolan Raichu","Unified Minds"
"Alolan Raichu","SM Black Star Promos"
"Alolan Raichu","SM Black Star Promos"
"Alolan Raticate","Sun & Moon"
"Alolan Raticate","Burning Shadows"
"Alolan Raticate","Pokémon GO"
"Alolan Raticate-GX","Celestial Storm"
"Alolan Rattata","Sun & Moon"
"Alolan Rattata","Burning Shadows"
"Alolan Rattata","Celestial Storm"
"Alolan Rattata","Pokémon GO"
"Alolan Sandshrew","McDonald's Collection 2019"
"Alolan Sandshrew","Guardians Rising"
"Alolan Sandshrew","Guardians Rising"
"Alolan Sandshrew","Ultra Prism"
"Alolan Sandshrew","Cosmic Eclipse"
"Alolan Sandslash","Guardians Rising"
"Alolan Sandslash","SM Black Star Promos"
"Alolan Sandslash","Ultra Prism"
"Alolan Sandslash","SM Black Star Promos"
"Alolan Sandslash","Cosmic Eclipse"
"Alolan Sandslash-GX","SM Black Star Promos"
"Alolan Vulpix","Shiny Vault"
"Alolan Vulpix","Guardians Rising"
"Alolan Vulpix","Guardians Rising"
"Alolan Vulpix","Ultra Prism"
"Alolan Vulpix","Burning Shadows"
"Alolan Vulpix","Cosmic Eclipse"
"Alolan Vulpix","Lost Thunder"
"Alolan Vulpix V","Silver Tempest"
"Alolan Vulpix V","Silver Tempest"
"Alolan Vulpix VSTAR","Silver Tempest"
"Alolan Vulpix VSTAR","Silver Tempest"
Alomomola,"Phantom Forces"
Alomomola,"Dragons Exalted"
Alomomola,"Guardians Rising"
Alomomola,"Black & White"
Alomomola,"Black & White"
Alomomola,"McDonald's Collection 2011"
Altaria,"HS—Triumphant"
Altaria,Dragon
Altaria,Deoxys
Altaria,"Power Keepers"
Altaria,"Great Encounters"
Altaria,Platinum
Altaria,"Dragon Majesty"
Altaria,"Dragon Majesty"
Altaria,"Shiny Vault"
Altaria,"Champion's Path"
Altaria,"XY Black Star Promos"
Altaria,"Roaring Skies"
Altaria,"BW Black Star Promos"
Altaria,"Roaring Skies"
Altaria,"Dragons Exalted"
Altaria,"Legendary Treasures"
Altaria,"Crimson Invasion"
Altaria,Generations
Altaria,"Boundaries Crossed"
Altaria,"Evolving Skies"
Altaria,"Silver Tempest"
Altaria,"Silver Tempest Trainer Gallery"
"Altaria C","Supreme Victors"
"Altaria ex",Emerald
"Altaria ex δ","Dragon Frontiers"
Altaria-EX,"Fates Collide"
Altaria-EX,"Fates Collide"
Altaria-GX,"Dragon Majesty"
Altaria-GX,"Dragon Majesty"
Altaria-GX,"Dragon Majesty"
Altaria-GX,"Shiny Vault"
Amaura,"Forbidden Light"
Amaura,"Furious Fists"
Ambipom,"Mysterious Treasures"
Ambipom,"HS—Triumphant"
Ambipom,"Majestic Dawn"
Ambipom,"Steam Siege"
Ambipom,"Dragons Exalted"
Ambipom,"Cosmic Eclipse"
Ambipom,"Pokémon GO"
Ambipom,"Lost Origin"
"Ambipom G","Rising Rivals"
Amoonguss,"Next Destinies"
Amoonguss,"Steam Siege"
Amoonguss,"Plasma Storm"
Amoonguss,"Noble Victories"
Amoonguss,"Unified Minds"
Amoonguss,"SM Black Star Promos"
Amoonguss,"Silver Tempest"
Ampharos,Platinum
Ampharos,"Secret Wonders"
Ampharos,Aquapolis
Ampharos,"POP Series 7"
Ampharos,"Neo Revelation"
Ampharos,"Unseen Forces"
Ampharos,"Neo Genesis"
Ampharos,"Expedition Base Set"
Ampharos,"HeartGold & SoulSilver"
Ampharos,"Call of Legends"
Ampharos,Aquapolis
Ampharos,"Dragons Exalted"
Ampharos,"Steam Siege"
Ampharos,"Expedition Base Set"
Ampharos,"Darkness Ablaze"
Ampharos,"BW Black Star Promos"
Ampharos,"Lost Thunder"
Ampharos,"HeartGold & SoulSilver"
Ampharos,"Chilling Reign"
Ampharos,"Evolving Skies"
"Ampharos V","Vivid Voltage"
"Ampharos V","Vivid Voltage"
"Ampharos ex",Dragon
"Ampharos δ","Dragon Frontiers"
Ampharos-EX,"Ancient Origins"
Ampharos-EX,"Ancient Origins"
Ampharos-GX,"Team Up"
Ampharos-GX,"Team Up"
Ampharos-GX,"Team Up"
Anorith,"Legend Maker"
Anorith,"Power Keepers"
Anorith,Sandstorm
Anorith,Sandstorm
Anorith,"Legends Awakened"
Anorith,"Steam Siege"
Anorith,"Cosmic Eclipse"
Anorith,"Silver Tempest"
"Anorith δ","Holon Phantoms"
Appletun,"Rebel Clash"
Appletun,"Shiny Vault"
Appletun,"Evolving Skies"
"Appletun V","Fusion Strike"
Applin,"Rebel Clash"
Applin,"Rebel Clash"
Applin,"Shiny Vault"
Applin,"Evolving Skies"
Araquanid,"Ultra Prism"
Araquanid,"Burning Shadows"
Araquanid,"Forbidden Light"
Araquanid,"Sun & Moon"
Araquanid,"Unified Minds"
Araquanid,"Cosmic Eclipse"
Araquanid,"Fusion Strike"
Araquanid,"Silver Tempest"
Arbok,"Expedition Base Set"
Arbok,"Hidden Fates"
Arbok,Fossil
Arbok,"Champion's Path"
Arbok,Sandstorm
Arbok,"Great Encounters"
Arbok,"Expedition Base Set"
Arbok,"Shining Legends"
Arbok,XY
Arbok,"Unbroken Bonds"
"Arbok δ","Dragon Frontiers"
Arcanine,"HeartGold & SoulSilver"
Arcanine,Aquapolis
Arcanine,"Detective Pikachu"
Arcanine,"Rising Rivals"
Arcanine,Skyridge
Arcanine,"Wizards Black Star Promos"
Arcanine,"Next Destinies"
Arcanine,"Next Destinies"
Arcanine,"Secret Wonders"
Arcanine,BREAKpoint
Arcanine,"Sun & Moon"
Arcanine,Sandstorm
Arcanine,Base
Arcanine,"FireRed & LeafGreen"
Arcanine,Evolutions
Arcanine,"Unbroken Bonds"
Arcanine,Aquapolis
Arcanine,"Base Set 2"
Arcanine,"Rebel Clash"
Arcanine,Skyridge
Arcanine,"Legendary Collection"
Arcanine,"Supreme Victors"
Arcanine,"Fusion Strike"
Arcanine,"EX Trainer Kit 2 Minun"
Arcanine,"Silver Tempest"
"Arcanine G","Supreme Victors"
"Arcanine ex","Legend Maker"
Arceus,"DP Black Star Promos"
Arceus,"XY Black Star Promos"
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,Arceus
Arceus,"XY Black Star Promos"
Arceus,"XY Black Star Promos"
"Arceus & Dialga & Palkia-GX","Cosmic Eclipse"
"Arceus & Dialga & Palkia-GX","Cosmic Eclipse"
"Arceus & Dialga & Palkia-GX","Cosmic Eclipse"
"Arceus & Dialga & Palkia-GX","Cosmic Eclipse"
"Arceus LV.X","DP Black Star Promos"
"Arceus LV.X","DP Black Star Promos"
"Arceus LV.X",Arceus
"Arceus LV.X",Arceus
"Arceus LV.X",Arceus
"Arceus V","Brilliant Stars"
"Arceus V","Brilliant Stars"
"Arceus V","Brilliant Stars"
"Arceus V","SWSH Black Star Promos"
"Arceus VSTAR","Brilliant Stars"
"Arceus VSTAR","Brilliant Stars"
"Arceus VSTAR","Brilliant Stars"
"Arceus ◇","Forbidden Light"
Archen,"Plasma Blast"
Archen,"Noble Victories"
Archen,"Unified Minds"
Archen,"Silver Tempest"
Archeops,"Plasma Blast"
Archeops,"Noble Victories"
Archeops,"Dark Explorers"
Archeops,"Unified Minds"
Archeops,"Silver Tempest"
Archeops,"SWSH Black Star Promos"
Arctovish,"Darkness Ablaze"
Arctovish,"Shiny Vault"
"Arctovish V","Evolving Skies"
"Arctovish V","Evolving Skies"
Arctozolt,"SWSH Black Star Promos"
Arctozolt,"Darkness Ablaze"
Arctozolt,"Shiny Vault"
Ariados,Aquapolis
Ariados,"Unseen Forces"
Ariados,"Ancient Origins"
Ariados,"Celestial Storm"
Ariados,"Lost Thunder"
Ariados,"HeartGold & SoulSilver"
Ariados,"Mysterious Treasures"
Ariados,Aquapolis
Ariados,"Neo Genesis"
Ariados,"Darkness Ablaze"
Ariados,"Brilliant Stars Trainer Gallery"
Ariados,"Pokémon GO"
Ariados,"Lost Origin"
Ariados,"Silver Tempest"
Armaldo,Sandstorm
Armaldo,"Power Keepers"
Armaldo,"Legends Awakened"
Armaldo,"Steam Siege"
Armaldo,"Cosmic Eclipse"
Armaldo,"Silver Tempest"
"Armaldo ex","POP Series 1"
"Armaldo ex","Legend Maker"
"Armaldo δ","Holon Phantoms"
"Armored Mewtwo","SM Black Star Promos"
Aromatisse,XY
Aromatisse,BREAKpoint
Aromatisse,BREAKthrough
Aromatisse,"Unbroken Bonds"
Aron,"Ruby & Sapphire"
Aron,"HS—Undaunted"
Aron,"Legend Maker"
Aron,"Crystal Guardians"
Aron,"Power Keepers"
Aron,"Plasma Blast"
Aron,"HS—Triumphant"
Aron,"Holon Phantoms"
Aron,"Ruby & Sapphire"
Aron,"Ruby & Sapphire"
Aron,Sandstorm
Aron,"Rising Rivals"
Aron,"Crimson Invasion"
Aron,"Mysterious Treasures"
Aron,"Dragons Exalted"
Aron,"Darkness Ablaze"
Aron,"Unbroken Bonds"
Aron,"Chilling Reign"
Arrokuda,"Vivid Voltage"
Arrokuda,"Rebel Clash"
Arrokuda,"Shiny Vault"
Arrokuda,"SWSH Black Star Promos"
Arrokuda,"Fusion Strike"
Articuno,Fossil
Articuno,"Legendary Collection"
Articuno,Skyridge
Articuno,"Majestic Dawn"
Articuno,Fossil
Articuno,"Supreme Victors"
Articuno,"Roaring Skies"
Articuno,"Roaring Skies"
Articuno,"Next Destinies"
Articuno,"Wizards Black Star Promos"
Articuno,"Legendary Treasures"
Articuno,"Team Up"
Articuno,Generations
Articuno,Skyridge
Articuno,"Wizards Black Star Promos"
Articuno,"SM Black Star Promos"
Articuno,"Supreme Victors"
Articuno,"Pokémon GO"
Articuno,"Silver Tempest"
"Articuno ex","Nintendo Black Star Promos"
"Articuno ex","FireRed & LeafGreen"
Articuno-EX,"Plasma Storm"
Articuno-EX,"Plasma Storm"
Articuno-GX,"Celestial Storm"
Articuno-GX,"Shiny Vault"
Articuno-GX,"Celestial Storm"
Articuno-GX,"Celestial Storm"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
"Ash's Pikachu","SM Black Star Promos"
Ash-Greninja-EX,"XY Black Star Promos"
Audino,"McDonald's Collection 2011"
Audino,"Black & White"
Audino,"Noble Victories"
Audino,"Emerging Powers"
Audino,"Dragons Exalted"
Audino,"Boundaries Crossed"
Audino,"Legendary Treasures"
Audino,"Unified Minds"
Audino-EX,"Fates Collide"
Aurorus,"Forbidden Light"
Aurorus,"Furious Fists"
Aurorus-EX,"XY Black Star Promos"
Avalugg,Flashfire
Avalugg,"Forbidden Light"
Avalugg,"Steam Siege"
Avalugg,"Evolving Skies"
Axew,"Dragon Vault"
Axew,"Dragon Vault"
Axew,"BW Black Star Promos"
Axew,"BW Black Star Promos"
Axew,"McDonald's Collection 2012"
Axew,"BW Black Star Promos"
Axew,"Plasma Blast"
Axew,"Noble Victories"
Axew,BREAKthrough
Axew,BREAKthrough
Axew,"Unified Minds"
Axew,"Brilliant Stars"
Azelf,"Mysterious Treasures"
Azelf,"Legends Awakened"
Azelf,"Plasma Blast"
Azelf,"Forbidden Light"
Azelf,"Unified Minds"
Azelf,"XY Black Star Promos"
Azelf,"Astral Radiance"
"Azelf LV.X","Legends Awakened"
Azumarill,"Team Rocket Returns"
Azumarill,"HeartGold & SoulSilver"
Azumarill,Aquapolis
Azumarill,"Neo Genesis"
Azumarill,"Diamond & Pearl"
Azumarill,Aquapolis
Azumarill,"Boundaries Crossed"
Azumarill,Sandstorm
Azumarill,"Burning Shadows"
Azumarill,"Steam Siege"
Azumarill,"Primal Clash"
Azumarill,"Primal Clash"
Azumarill,"Delta Species"
Azumarill,"Lost Thunder"
Azumarill,"Fusion Strike"
"Azumarill δ","Delta Species"
Azurill,"Delta Species"
Azurill,Sandstorm
Azurill,"Diamond & Pearl"
Azurill,"Cosmic Eclipse"
Bagon,"Dragon Vault"
Bagon,Dragon
Bagon,"Dragon Majesty"
Bagon,"Power Keepers"
Bagon,Arceus
Bagon,Dragon
Bagon,Dragon
Bagon,Deoxys
Bagon,"Roaring Skies"
Bagon,"Plasma Blast"
Bagon,"Roaring Skies"
Bagon,Stormfront
Bagon,"Secret Wonders"
Bagon,Arceus
Bagon,"Celestial Storm"
Bagon,"Celestial Storm"
Bagon,"Evolving Skies"
Bagon,"EX Trainer Kit Latias"
"Bagon δ","Dragon Frontiers"
"Bagon δ","Delta Species"
"Bagon δ","Delta Species"
Baltoy,"Ancient Origins"
Baltoy,"Ancient Origins"
Baltoy,Sandstorm
Baltoy,Emerald
Baltoy,"Power Keepers"
Baltoy,Deoxys
Baltoy,"Holon Phantoms"
Baltoy,"Hidden Legends"
Baltoy,"Hidden Legends"
Baltoy,"Dragons Exalted"
Baltoy,"Great Encounters"
Baltoy,"Celestial Storm"
Baltoy,"Supreme Victors"
Baltoy,"Sword & Shield"
Baltoy,"Sword & Shield"
Baltoy,"Battle Styles"
Baltoy,"Fusion Strike"
Baltoy,"Brilliant Stars"
Baltoy,"Silver Tempest"
Banette,"Crystal Guardians"
Banette,"Hidden Legends"
Banette,"HS—Triumphant"
Banette,"Power Keepers"
Banette,Platinum
Banette,"Secret Wonders"
Banette,"Roaring Skies"
Banette,"Roaring Skies"
Banette,"Celestial Storm"
Banette,"Vivid Voltage"
Banette,"Chilling Reign"
Banette,"Lost Origin"
Banette,"Lost Origin Trainer Gallery"
"Banette ex","Legend Maker"
Banette-GX,"Celestial Storm"
Banette-GX,"Shiny Vault"
Banette-GX,"Celestial Storm"
Banette-GX,"Celestial Storm"
Barbaracle,"Fates Collide"
Barbaracle,Flashfire
Barbaracle,"Forbidden Light"
Barbaracle,"Rebel Clash"
Barbaracle,"Lost Origin"
Barboach,"Primal Clash"
Barboach,Dragon
Barboach,Deoxys
Barboach,"Holon Phantoms"
Barboach,"Guardians Rising"
Barboach,"Mysterious Treasures"
Barboach,"Rebel Clash"
Barboach,"Astral Radiance"
Barraskewda,"Vivid Voltage"
Barraskewda,"Rebel Clash"
Barraskewda,"Shiny Vault"
Barraskewda,"Fusion Strike"
Basculin,"Next Destinies"
Basculin,"Emerging Powers"
Basculin,"Emerging Powers"
Basculin,"Black & White"
Basculin,"Unified Minds"
Basculin,"Fusion Strike"
Bastiodon,"POP Series 6"
Bastiodon,"Pokémon Rumble"
Bastiodon,Platinum
Bastiodon,"Mysterious Treasures"
Bastiodon,"Steam Siege"
Bastiodon,"Ultra Prism"
Bastiodon,"Astral Radiance"
"Bastiodon GL","Rising Rivals"
Bayleef,"Lost Thunder"
Bayleef,BREAKpoint
Bayleef,"HeartGold & SoulSilver"
Bayleef,"Neo Genesis"
Bayleef,"Neo Genesis"
Bayleef,"Unseen Forces"
Bayleef,"Call of Legends"
Bayleef,"Mysterious Treasures"
Bayleef,"Expedition Base Set"
"Bayleef δ","Dragon Frontiers"
Beartic,"Furious Fists"
Beartic,"Next Destinies"
Beartic,"Emerging Powers"
Beartic,"Emerging Powers"
Beartic,"Plasma Storm"
Beartic,"Darkness Ablaze"
Beartic,"Lost Thunder"
Beartic,"Brilliant Stars"
Beautifly,Deoxys
Beautifly,"POP Series 1"
Beautifly,"Dragons Exalted"
Beautifly,"Ruby & Sapphire"
Beautifly,"Roaring Skies"
Beautifly,"Diamond & Pearl"
Beautifly,Platinum
Beautifly,"Lost Thunder"
Beautifly,"Lost Origin"
Beedrill,"Primal Clash"
Beedrill,"Champion's Path"
Beedrill,"Team Up"
Beedrill,"Plasma Freeze"
Beedrill,"Vivid Voltage"
Beedrill,XY
Beedrill,"FireRed & LeafGreen"
Beedrill,Skyridge
Beedrill,"Crimson Invasion"
Beedrill,"HS—Unleashed"
Beedrill,Evolutions
Beedrill,"Great Encounters"
Beedrill,Base
Beedrill,"Rising Rivals"
Beedrill,"Base Set 2"
Beedrill,"Legendary Collection"
Beedrill,"Neo Discovery"
Beedrill,Skyridge
Beedrill,"Chilling Reign"
"Beedrill G",Arceus
"Beedrill V","Astral Radiance"
"Beedrill V","Astral Radiance"
"Beedrill V","Astral Radiance"
"Beedrill δ","Delta Species"
Beedrill-EX,"XY Black Star Promos"
Beheeyem,"Next Destinies"
Beheeyem,"Noble Victories"
Beheeyem,"Plasma Storm"
Beheeyem,BREAKthrough
Beheeyem,"Unified Minds"
Beheeyem,"Silver Tempest"
Beldum,"Nintendo Black Star Promos"
Beldum,"Hidden Legends"
Beldum,"Hidden Legends"
Beldum,"Shiny Vault"
Beldum,"HS—Undaunted"
Beldum,"HS—Unleashed"
Beldum,"Ancient Origins"
Beldum,"Plasma Freeze"
Beldum,"Power Keepers"
Beldum,Deoxys
Beldum,"Hidden Legends"
Beldum,"Legends Awakened"
Beldum,"Legends Awakened"
Beldum,"Guardians Rising"
Beldum,"Celestial Storm"
Beldum,"Supreme Victors"
Beldum,"Celestial Storm"
Beldum,"Vivid Voltage"
Beldum,"EX Trainer Kit 2 Plusle"
Beldum,"Silver Tempest"
"Beldum δ","Delta Species"
Bellossom,"Ancient Origins"
Bellossom,Aquapolis
Bellossom,"Unseen Forces"
Bellossom,"Boundaries Crossed"
Bellossom,"HS—Undaunted"
Bellossom,"Neo Genesis"
Bellossom,"Hidden Legends"
Bellossom,"Legends Awakened"
Bellossom,Aquapolis
"Bellossom δ","Holon Phantoms"
Bellsprout,"Guardians Rising"
Bellsprout,"Celestial Storm"
Bellsprout,"Furious Fists"
Bellsprout,"Unbroken Bonds"
Bellsprout,"Legend Maker"
Bellsprout,"FireRed & LeafGreen"
Bellsprout,Jungle
Bellsprout,"HS—Triumphant"
Bellsprout,"Base Set 2"
Bellsprout,Aquapolis
Bellsprout,"Legends Awakened"
Bellsprout,Aquapolis
Bellsprout,"Battle Styles"
Bergmite,Flashfire
Bergmite,"Forbidden Light"
Bergmite,"Steam Siege"
Bergmite,"Evolving Skies"
Bergmite,"Astral Radiance"
Bewear,"SM Black Star Promos"
Bewear,"Crimson Invasion"
Bewear,"Guardians Rising"
Bewear,"Burning Shadows"
Bewear,"Sun & Moon"
Bewear,"Rebel Clash"
Bewear,"Cosmic Eclipse"
Bewear,"Fusion Strike"
Bewear,"McDonald's Collection 2022"
Bewear-GX,"SM Black Star Promos"
Bibarel,"Pokémon Rumble"
Bibarel,"Diamond & Pearl"
Bibarel,Stormfront
Bibarel,"Supreme Victors"
Bibarel,XY
Bibarel,"Dragons Exalted"
Bibarel,"Primal Clash"
Bibarel,"Unified Minds"
Bibarel,"Brilliant Stars"
Bibarel,"SWSH Black Star Promos"
Bibarel,"Pokémon GO"
Bidoof,"POP Series 6"
Bidoof,"Kalos Starter Set"
Bidoof,Stormfront
Bidoof,"Diamond & Pearl"
Bidoof,"Mysterious Treasures"
Bidoof,"Supreme Victors"
Bidoof,XY
Bidoof,"Dragons Exalted"
Bidoof,"Primal Clash"
Bidoof,"Primal Clash"
Bidoof,"Unified Minds"
Bidoof,"Brilliant Stars"
Bidoof,"Pokémon GO"
Binacle,"Fates Collide"
Binacle,"Roaring Skies"
Binacle,Flashfire
Binacle,"Forbidden Light"
Binacle,"Rebel Clash"
Binacle,"Lost Origin"
Bisharp,"Kalos Starter Set"
Bisharp,"Steam Siege"
Bisharp,"Plasma Freeze"
Bisharp,"Plasma Freeze"
Bisharp,"Dark Explorers"
Bisharp,XY
Bisharp,"Noble Victories"
Bisharp,"Dark Explorers"
Bisharp,"Noble Victories"
Bisharp,"Team Up"
Bisharp,"Cosmic Eclipse"
Bisharp,"Sword & Shield"
Bisharp,"Battle Styles"
Bisharp,"Astral Radiance"
Blacephalon,"Unbroken Bonds"
Blacephalon,"Cosmic Eclipse"
Blacephalon,"SM Black Star Promos"
Blacephalon-GX,"Lost Thunder"
Blacephalon-GX,"Lost Thunder"
Blacephalon-GX,"Lost Thunder"
"Black Kyurem","Cosmic Eclipse"
"Black Kyurem","BW Black Star Promos"
"Black Kyurem","XY Black Star Promos"
"Black Kyurem","Boundaries Crossed"
"Black Kyurem","XY Black Star Promos"
